District,Lat,Lon,Counts,SPI6_201609,SPI6_201703,nls_sqkm
Chandrapur,20.118,79.444,1,1.0301287,-0.22940747,4.67237206
Changlang,27.207,95.815,5,0.3125917,-0.051413756,0.616525642
Chatra,24.168,84.857,9,2.1667926,0.470544,0.506464735
Chennai,13.085,80.277,136,-0.20452484,-2.2694218,70.7321213
Chhatarpur,24.695,79.488,3,1.701983,-1.0788007,2.085070475
Chhindwara,22.057,78.938,1,0.9108208,-0.6184284,2.084051687
Chirang,26.535,90.508,19,-0.043228183,-0.5077705,2.754729351
Chitradurga,14.211,76.437,17,-0.88129514,-2.181688,5.658825655
Chittoor,13.551,79.367,20,-0.51925063,-2.1237304,8.554502655
Churachandpur,24.344,93.622,12,1.0433549,1.2327377,0.266808882
Churu,28.304,74.967,3,0.5519764,-0.007449818,4.60265613
Coimbatore,10.991,76.972,126,-2.3515313,-1.7388997,15.05543654
Cuddalore,11.622,79.661,6,0.9811229,-2.607219,16.87913682
Cuttack,20.471,85.908,12,0.041281924,-0.36772877,9.010516403
Dadra and Nagar Haveli,20.067,73.176,1,0.17324509,0.28083652,21.53294069
Dahod,22.796,74.16,7,1.1176614,2.1393862,4.139564491
Dakshin Dinajpur,25.221,88.777,1,0.71484137,0.047366288,6.155040742
Dakshina Kannada,12.903,74.889,34,-1.6776677,-2.9899049,7.936090659
Daman,20.414,72.832,1,-0.052280467,0.4738744,56.77721205
Damoh,23.838,79.442,1,2.0025828,-1.1749622,2.912615371
Dantewada,18.814,81.41,21,0.8001949,-0.9955888,1.625983246
Darbhanga,26.165,85.921,9,1.2712725,0.36285654,3.160906047
Darrang,26.45,92.027,23,-1.1138985,-0.63346,2.363160999
Datia,25.666,78.46,1,0.8251399,0.5086981,3.251197954
Dausa,26.937,76.501,3,1.1892343,0.75718385,11.73411153
Davanagere,14.467,75.927,1,-0.46016887,-1.7335519,6.471693879
Dehradun,30.324,78.034,172,0.4118748,0.21445401,8.611219715
Deoghar,24.49,86.699,3,1.2589405,-0.9524516,2.772412137
Deoria,26.475,83.749,5,0.8095509,-0.44870153,3.991929987
Dewas,22.966,76.055,2,1.6215297,0.51950413,2.218252123
Dhalai,23.877,91.882,13,0.15018044,1.9825858,1.791722566
Dhamtari,20.707,81.549,1,-0.12783977,-0.34913898,3.371235198
Dhanbad,23.802,86.443,9,1.5371838,-1.2217762,15.76851583
Dhar,22.603,75.173,4,1.5107424,1.0155011,2.106076598
Dharmapuri,12.112,78.2,29,-0.55881596,-2.10476,6.851514473
Dharwad,15.392,75.096,38,-0.064965054,-1.6195393,8.335563702
Dhemaji,27.579,94.726,31,-1.4047035,-0.016477885,0.335430283
Dhenkanal,20.736,85.627,8,-0.05884276,-0.28035262,4.806527334
Dhubri,25.947,89.963,23,0.8373843,-0.21346162,0.742565749
Dhule,20.901,74.777,1,0.59005344,0.6926909,3.202929098
Dibrugarh,27.411,95.018,74,-1.2066212,-0.043891925,8.765370422
Dima Hasao,25.186,92.998,19,0.39589965,0.31758887,0.584108402
Dimapur,25.917,93.721,10,1.0656571,0.017051792,5.342946003
Dindigul,10.362,77.906,60,-1.2734113,-1.8385284,8.950996764
Dindori,22.942,81.077,1,0.83660966,-1.3908563,0.339306249
Doda,33.087,75.641,39,0.85453236,0.5006133,0.525425051
Dumka,24.356,87.245,4,0.6771708,-1.3410946,0.609870401
Durg,21.191,81.276,1,0.13477196,-0.373404,14.80033953
East Garo Hills,25.62,90.61,5,-1.0799662,0.16676608,0.591238041
East Godavari,16.979,82.135,19,0.7968369,-1.7937686,7.519970085
East Khasi Hills,25.573,91.901,27,-0.5007661,0.09867697,3.066310177
Ernakulam,9.957,76.277,51,-1.6690484,-2.1015089,21.94568154
Erode,11.331,77.708,35,-1.4189589,-2.1899798,9.749041018
Etah,27.559,78.657,8,0.15701184,-0.3338666,2.905442959
Etawah,26.803,78.992,4,0.5667673,-0.24985664,9.874424647
Faizabad,26.771,82.179,12,0.3223521,-0.21939217,3.501953235
Faridabad,28.386,77.323,14,1.0592843,-0.37216195,24.78952045
Faridkot,30.661,74.776,30,0.31465515,-0.3520129,11.73841429
Farrukhabad,27.391,79.579,3,0.26532242,-0.45169717,1.580479862
Fatehabad,29.563,75.682,16,0.5890409,-0.7795305,12.72493128
Fatehgarh Sahib,30.698,76.368,20,0.64655477,0.53311324,12.55243403
Fatehpur,25.928,80.813,1,1.1287296,-0.51508737,1.941037085
Fazilka,30.233,74.183,70,0.56454796,-0.85748583,11.48242062
Firozabad,27.14,78.445,12,0.13794808,-0.058666985,9.709755898
Gadag,15.43,75.63,2,0.17937987,-1.7375616,4.625964537
Gajapati,18.778,84.094,4,0.43828285,-0.43303916,0.65049773
Ganderbal,34.226,74.814,25,0.001960797,-0.04289174,1.156534486
Gandhinagar,23.213,72.675,30,0.6386171,2.2788913,19.97883513
Ganjam,19.332,84.889,12,0.2616713,-0.56301844,2.842989648
Garhwa,24.154,83.8,3,1.78707,-0.024116948,0.277406926
Gautam Buddha Nagar,28.479,77.537,63,1.0334975,-0.31540877,28.21254241
Gaya,24.722,84.878,22,1.9067595,0.46388203,2.51798403
Ghaziabad,28.691,77.511,35,0.57255507,-0.33238792,26.01040506
Ghazipur,25.562,83.641,4,1.2089136,-0.7025795,2.184754874
Gir Somnath,21.058,70.532,2,-0.7897347,2.089983,11.89213445
Giridih,24.186,86.247,15,1.6672925,-0.30096948,1.107765258
Goalpara,26.153,90.638,22,-0.18993534,-0.45039722,3.311192074
Godda,24.83,87.212,15,0.6549205,-0.7552042,1.6610882
Golaghat,26.51,93.913,43,0.56718606,-0.031689826,4.062769482
Gomati,23.533,91.483,6,0.28163117,1.9447889,5.212293707
Gonda,27.074,81.965,3,0.18495911,-0.06954237,2.320128504
Gopalganj,26.448,84.46,8,0.945693,-0.144009,3.163142865
Gorakhpur,26.766,83.369,11,0.56427556,0.1089648,5.878300014
Gumla,23.063,84.57,12,1.0077235,-0.3138497,0.224078077
Guna,24.635,77.297,2,1.8676282,0.81730264,2.311237083
Guntur,16.456,80.335,12,0.2903516,-2.1978948,10.0950045
Gurdaspur,32.006,75.314,31,1.1300356,0.5961099,11.71609109
Gurgaon,28.449,77.024,72,0.7109898,-0.39950165,30.40180656
Gwalior,26.23,78.173,2,0.64881665,0.47411993,5.028150327
Hailakandi,24.703,92.573,13,0.36879522,1.3042415,1.058722917
Hanumangarh,29.549,74.294,7,0.4872309,-0.90760833,5.846135446
Hapur,28.76,77.989,2,0.67231977,-0.2785604,10.12629342
Harda,22.344,77.095,3,1.4650458,0.18575813,2.862929541
Hardoi,27.395,80.132,3,0.5455743,-0.5923598,0.892183912
Hassan,12.982,76.117,19,-1.6238867,-2.5991566,6.69230517
Hathras,27.601,78.18,6,0.952001,-0.20727693,8.310020465
Haveri,14.737,75.411,1,-0.35942543,-2.193364,7.201717655
Hazaribagh,23.984,85.343,10,1.8902357,0.12596218,3.029640159
Hisar,29.177,75.811,38,0.71736,-0.49351633,11.85300758
Hoshangabad,22.603,77.655,3,1.5847579,-0.61641467,3.694846567
Hoshiarpur,31.6,75.86,26,0.810709,0.6888384,8.961957125
Hyderabad,17.387,78.458,95,1.1750758,-1.602507,66.07062474
Idukki,10.002,76.985,8,-1.8100611,-1.98609,4.709922643
Imphal East,24.811,94,23,0.9897571,1.2033951,5.93077486
Imphal West,24.794,93.926,138,1.0491319,1.0354432,8.184367724
Indore,22.718,75.836,22,1.519013,0.70663255,10.70837915
Jabalpur,23.167,79.95,4,1.1338278,-1.3016177,8.057897036
Jagatsinghapur,20.256,86.171,5,0.23177542,-0.43167397,9.412359218
Jaipur,26.918,75.789,134,1.2600982,0.7945711,13.27015648
Jaisalmer,26.991,70.971,5,0.8694859,0.7231549,0.496613737
Jalandhar,31.289,75.59,130,0.91978717,0.55961156,14.9831894
Jalgaon,21.003,75.566,2,0.81798285,0.6109393,4.32149835
Jalpaiguri,26.661,88.773,6,1.6339791,0.55871075,6.346326155
Jammu,32.732,74.862,518,0.6108809,0.5890924,12.93420956
Jamnagar,22.466,70.128,7,-0.74937,1.3885332,7.705108862
Jamtara,23.95,86.818,2,1.2398757,-1.4038587,1.632780385
Jamui,24.899,86.27,9,1.4911742,-0.16913591,0.287919899
Janjgir-Champa,22.009,82.578,1,0.346731,-0.44205624,10.78571688
Jaunpur,25.852,82.686,3,1.0742141,-0.5130405,1.984990617
Jehanabad,25.214,84.99,3,1.3733447,0.36849558,3.388429815
Jhabua,22.956,74.731,3,1.4316893,1.7591118,1.116043963
Jhajjar,28.62,76.697,38,0.65325177,-0.4084381,14.14771589
Jhalawar,24.596,76.165,2,2.000786,1.3987778,3.88899148
Jhansi,25.428,78.668,7,1.263652,0.03025464,3.543273983
Jharsuguda,21.854,84.011,4,-0.19762062,-0.63830996,8.940120328
Jind,29.33,76.322,15,0.5851135,-0.3743425,12.2365621
Jodhpur,26.276,73.052,17,0.8415337,1.5245922,3.718050636
Jorhat,26.76,94.217,40,0.13061015,0.07556826,2.840680313
Junagadh,21.476,70.418,5,-0.5375043,1.7107403,6.0884596
Kachchh,23.311,69.727,9,-0.38039607,1.9582669,2.09601769
Kaimur,25.042,83.559,4,1.6899003,0.19529131,1.008754836
Kaithal,29.786,76.382,71,0.6078646,-0.130409,13.81536746
Kalahandi,19.907,83.162,6,-0.3021735,-0.018675959,0.97580604
Kamrup,26.329,91.663,19,-1.1128757,-0.35522816,4.52922688
Kamrup Metropolitan,26.175,91.787,161,-0.9977913,-0.48221222,16.11394547
Kandhamal,20.413,84.142,8,-0.3795072,-0.03730965,0.156655402
Kangra,32.184,76.25,64,0.6926138,0.49092373,4.29833684
Kannauj,27.055,79.919,2,0.5198141,-0.42616868,6.462441772
Kannur,11.895,75.391,37,-2.1238778,-2.9396346,8.22077478
Kanpur Dehat,26.38,79.937,2,0.8527363,-0.39039573,2.406550716
Kanpur Nagar,26.482,80.337,22,0.90391815,-0.34812412,7.465227356
Kapurthala,31.247,75.663,42,0.88433516,0.38852414,11.67873104
Karaikal,10.917,79.833,4,1.0878845,-2.392887,32.15348272
Karbi Anglong,25.86,93.299,16,0.45228794,-0.19522788,0.643575362
Kargil,34.545,76.089,10,0.7950437,0.4368102,0.068770745
Karimganj,24.843,92.37,12,0.055934783,1.276889,1.240999172
Karimnagar,18.521,79.059,9,1.3708522,-1.0138954,10.47246246
Karnal,29.674,76.969,77,0.64226705,0.18177934,16.83815197
Karur,10.933,78.108,14,-0.5975598,-2.1499119,10.39348211
Kasaragod,12.469,75.019,23,-1.9376692,-3.09,6.828046776
Kathua,32.408,75.489,41,0.84752226,0.6932613,5.155777282
Katihar,25.552,87.571,3,1.4599198,-0.06698002,1.697718962
Katni,23.833,80.405,4,1.5570302,-1.2238563,4.786764999
Kendrapara,20.553,86.455,14,0.20556568,-0.43218243,5.175951406
Kendujhar,21.639,85.587,7,-0.13395928,-0.36311376,2.761473492
Khagaria,25.511,86.477,1,1.1721168,0.2746798,1.235620307
Khammam,17.317,80.311,21,0.85455626,-1.7606937,5.249165952
Kheda,22.781,72.847,3,0.7871448,2.1211321,8.053827028
Khordha,20.265,85.817,85,0.024589248,-0.500731,9.844021752
Khowai,23.922,91.603,2,-0.12099732,1.8324258,5.459719253
Khunti,23.046,85.262,11,1.0304796,-1.079819,0.300176825
Kinnaur,31.539,78.268,1,0.6516809,0.017323097,0.260805329
