District,Lat,Lon,Counts,SPI6_201609,SPI6_201703,nls_sqkm
Rohtas,24.978,84.011,10,1.7198329,0.17832582,1.872752967
Rudraprayag,30.362,79.02,3,0.49673757,-0.19639857,0.683170217
Rupnagar,31.019,76.505,24,0.62755597,0.69345397,11.22016836
Sabar Kantha,23.625,73.04,4,0.9294484,2.4406834,4.998454855
Sagar,23.839,78.739,2,2.2232938,-1.0833886,3.419579697
Saharanpur,29.911,77.543,25,0.4364768,0.4995752,4.541081904
Saharsa,25.882,86.602,4,1.1846879,0.45026955,2.896969982
Sahibganj,25.1,87.679,5,0.3997479,-0.63110566,2.111345376
Sahibzada Ajit Singh Nagar,30.676,76.737,70,0.5064163,0.6985045,22.55148184
Salem,11.646,78.2,69,-0.39542958,-2.1969688,14.99386918
Samastipur,25.789,85.777,14,1.3447189,0.50746334,3.437849218
Samba,32.557,75.089,52,0.67940724,0.7269282,12.28455607
Sambalpur,21.457,84.013,10,-0.5920452,-0.6229546,2.624803244
Sambhal,28.543,78.598,7,0.6540876,-0.37970906,4.268158683
Sangli,16.854,74.564,4,0.74262875,-1.3494023,8.573326676
Sangrur,30.223,75.861,132,0.8436118,-0.017453091,11.65342184
Sant Kabir Nagar,26.775,83.067,2,0.32499036,0.16655262,3.482734027
Saran,25.763,84.832,5,0.92868495,0.33582667,5.099450773
Satara,17.686,73.993,1,0.33286038,-1.4310871,7.896417073
Satna,24.577,80.827,3,1.7287332,-1.386075,4.909853703
Sawai Madhopur,26.023,76.344,1,1.1683824,1.0490975,5.521045994
Sehore,23.205,77.085,3,1.9720134,-0.32016593,3.165842714
Senapati,25.099,93.924,8,0.85471493,0.5265805,0.47663567
Seoni,22.085,79.55,2,0.6499236,-1.1263219,1.75139985
Shahdol,23.302,81.356,1,1.54427,-1.3835729,1.431005344
Shahjahanpur,27.88,79.914,10,0.3485145,-0.6043033,2.027785055
Shajapur,23.391,76.428,4,1.8028847,-0.2071678,2.087084629
Sheikhpura,25.14,85.841,2,1.5555924,0.38962123,1.905368298
Sheohar,26.514,85.293,2,0.7127404,0.61154044,1.624377534
Sheopur,25.673,76.696,1,1.4335366,1.133789,0.945224778
Shimla,31.109,77.204,110,0.60340154,0.2601093,2.441220422
Shivpuri,25.199,77.614,2,1.2433414,0.83847284,0.995317513
Shravasti,27.703,81.934,2,0.14875028,-0.45296818,0.996169156
Sidhi,24.396,81.881,1,1.915206,-1.2219387,2.117902857
Sikar,27.641,75.344,10,1.0096234,0.41697025,10.26638099
Simdega,22.628,84.576,11,0.6721437,-0.45516342,0.148758222
Singrauli,24.199,82.664,1,1.907898,-0.37901872,4.287960657
Sirmaur,30.53,77.474,10,0.51942766,0.5455806,4.010932406
Sirsa,29.622,74.915,17,0.45076478,-1.0611151,11.40265065
Sitamarhi,26.596,85.48,4,0.9639286,0.41450787,1.571650439
Sitapur,27.562,80.683,3,0.073702455,-0.69799596,1.306692873
Sivaganga,9.878,78.582,18,0.36720985,-2.1332562,9.026479457
Sivasagar,27.011,94.762,54,-0.5292608,0.19564192,5.828552452
Siwan,26.22,84.357,6,0.9085568,0.18709,2.533777924
Solan,30.937,77.002,16,0.5188345,0.6847112,10.61319202
Solapur,17.672,75.91,2,1.0144962,-0.6892631,9.171256069
Sonbhadra,24.194,82.792,1,2.0205858,-0.17742221,2.60907212
Sonipat,28.993,77.012,32,0.5290963,-0.39569962,16.65047093
Sonitpur,26.677,92.717,21,-0.3282939,-0.10729877,2.27114308
South 24 Parganas,22.423,88.569,29,0.25637496,-0.04262493,9.614007067
South Andaman,11.666,92.746,4,-0.18243292,0.19439732,1.936484523
South Garo Hills,25.224,90.617,9,-0.93285185,-0.04353356,0.441422498
South Goa,15.271,73.936,7,0.22903611,-1.1777714,10.73267025
South Tripura,23.229,91.509,8,0.18909244,1.8059605,4.328098146
South West Khasi Hills,25.362,91.455,1,-0.6625234,0.2543629,0.213992052
Srikakulam,18.363,83.848,7,0.6151503,-0.68232834,5.572047873
Srinagar,34.085,74.806,376,0.21061999,-0.2625714,12.7416828
Sukma,18.309,81.47,33,0.7989054,-1.4455134,0.115763287
Sultanpur,26.265,82.113,5,0.40797415,-0.12726595,1.838284973
Sundargarh,22.161,84.295,7,0.23832586,-0.5623202,3.014030084
Supaul,26.178,86.617,3,1.248897,0.3930243,3.353701553
Surajpur,23.213,82.868,1,1.5816848,-0.2118734,2.016937195
Surat,21.193,72.836,28,-0.1866726,1.5719768,15.88991383
Surendranagar,22.809,71.53,6,-0.30995175,2.1379795,4.255773987
Tamenglong,24.892,93.456,13,0.96848965,1.102635,0.379755433
Tapi,21.111,73.394,2,-0.019065948,1.264112,4.572451101
Tarn Taran,31.393,74.898,58,0.782815,0.13788207,13.8695878
Tehri Garhwal,30.396,78.47,4,0.5463845,0.1437974,3.085896205
Thane,19.225,73.05,21,0.29685873,-0.11214973,16.74212907
Thanjavur,10.814,79.209,65,0.91773933,-2.212859,12.75740913
Theni,9.967,77.455,24,-1.2603376,-2.112109,7.496372204
Thiruvananthapuram,8.484,76.963,114,-0.73575675,-2.4330854,19.3918844
Thoubal,24.597,93.996,41,0.89129597,1.1486748,2.967237562
Thrissur,10.517,76.173,17,-1.6385174,-2.1685238,13.00453589
Tikamgarh,24.946,78.769,3,1.6944083,-0.17103086,3.373859974
Tinsukia,27.512,95.499,65,-1.3081493,0.010643284,6.879039705
Tirap,26.993,95.501,2,-0.35089585,0.37795356,0.170141274
Tiruchirappalli,10.819,78.647,103,-0.12846404,-2.1373858,12.74759662
Tirunelveli,8.777,77.635,73,-0.83751506,-2.0500329,11.72615236
Tiruppur,11.101,77.34,40,-1.8254611,-2.0287597,13.9112102
Tiruvannamalai,12.178,79.114,31,0.12143809,-2.1944325,8.809888815
Tonk,26.166,75.788,2,1.7106838,1.4776828,2.651681846
Tuensang,26.237,95.045,2,0.49120373,0.010507257,0.076597776
Udaipur,24.571,73.692,13,1.2538046,2.3291557,3.653087697
Udalguri,26.719,92.091,19,-0.6968682,-0.8204997,2.107316785
Udham Singh Nagar,29.021,79.374,10,0.587693,-0.8841455,12.42313838
Udhampur,32.941,75.154,23,0.68088776,0.7095245,2.998344328
Udupi,13.311,74.767,30,-1.4365293,-2.7264192,6.119924117
Ujjain,23.182,75.776,9,1.8850229,0.93124276,3.310558995
Ukhrul,24.977,94.4,18,0.42178005,0.34954304,0.058050558
Umaria,23.531,80.829,1,1.4994249,-1.4434164,1.249461007
Una,31.495,76.244,13,0.66539407,0.7572129,7.863862519
Unnao,26.547,80.488,3,0.8099224,-0.70489377,2.208596027
Uttar Dinajpur,26.031,88.195,8,1.9362637,0.5325001,7.383644223
Uttara Kannada,14.342,74.527,5,-0.43353793,-1.9719431,2.627097717
Uttarkashi,30.657,78.377,2,0.57752013,0.039093148,0.254465165
Vadodara,22.279,73.227,20,0.70997345,2.149459,12.24669803
Vaishali,25.678,85.35,6,1.2812494,0.6139826,4.820784301
Varanasi,25.315,83.003,25,1.863607,-0.8288775,11.34505654
Vellore,12.851,79.051,40,-0.3156189,-2.1664302,11.72759112
Vidisha,23.526,77.811,2,2.120837,-0.12521063,1.319453732
Viluppuram,11.977,79.539,4,0.38719985,-2.514487,11.56374551
Visakhapatnam,17.743,83.089,44,0.73918116,-1.3822551,6.197726246
Vizianagaram,18.117,83.411,3,0.6506274,-0.81878,5.152457361
Warangal,18.579,79.526,4,1.1944925,-1.5545222,7.451310797
Wardha,20.736,78.659,1,0.24007793,-0.4476408,5.178414279
Wayanad,11.622,76.124,5,-2.102069,-2.4814374,5.282365268
West Garo Hills,25.489,90.203,9,-0.6112754,-0.20496438,0.44604399
West Godavari,16.566,81.421,8,0.81773704,-1.8140365,8.802082213
West Khasi Hills,25.52,91.165,4,-1.0615972,0.058637477,0.486970327
West Siang,27.999,94.766,3,-0.6900709,-0.39198542,0.034596394
West Tripura,23.848,91.345,74,-0.19681694,1.5017648,13.58995862
Wokha,26.091,94.259,2,0.23377565,-0.2530366,0.359183786
Yadgir,16.787,77.155,9,1.0145363,-1.7926869,6.211544433
Yamunanagar,30.14,77.279,29,0.5437801,0.67003524,13.1412147
Yavatmal,20.393,78.132,1,0.8442607,-0.15696871,5.077615717
Zunheboto,25.97,94.52,1,0.3722575,-0.12697028,0.205503647
